City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,herceg novi,42.4531,18.5375,24.49,69,20,2.06,ME,Sat Jun 10 11:20:07 2023
63,ishigaki,24.3448,124.1572,27.07,94,98,0.51,JP,Sat Jun 10 11:23:00 2023
64,aasiaat,68.7098,-52.8699,4.11,75,100,12.73,GL,Sat Jun 10 11:23:00 2023
65,ngorongoro,-3.2397,35.4875,15.92,59,37,3.17,TZ,Sat Jun 10 11:23:00 2023
66,haiku-pauwela,20.9219,-156.3051,23.91,70,0,5.14,US,Sat Jun 10 11:23:00 2023
67,margaret river,-33.95,115.0667,14.92,59,97,8.1,AU,Sat Jun 10 11:23:00 2023
68,kone,-21.0595,164.8658,18.46,84,19,2.01,NC,Sat Jun 10 11:23:01 2023
69,narasannapeta,18.4167,84.05,31.47,66,100,5.27,IN,Sat Jun 10 11:23:01 2023
70,novoshakhtinskiy,44.025,132.1514,11.82,96,96,2.54,RU,Sat Jun 10 11:23:01 2023
71,lebu,-37.6167,-73.65,10.33,68,46,5.41,CL,Sat Jun 10 11:23:01 2023
72,punta arenas,-53.15,-70.9167,4.06,75,0,9.26,CL,Sat Jun 10 11:19:15 2023
73,hami,42.8,93.45,32.49,10,1,1.66,CN,Sat Jun 10 11:23:01 2023
74,belmonte,-15.8631,-38.8828,26.45,69,25,1.77,BR,Sat Jun 10 11:23:01 2023
75,antonio enes,-16.2325,39.9086,25.56,71,0,4.46,MZ,Sat Jun 10 11:23:01 2023
76,hadibu,12.65,54.0333,29.56,74,81,7.61,YE,Sat Jun 10 11:23:01 2023
77,santa catalina,9.3337,122.8637,25.99,87,100,2.15,PH,Sat Jun 10 11:23:01 2023
78,gornozavodsk,58.3758,58.3211,12.42,60,42,5.25,RU,Sat Jun 10 11:23:02 2023
79,udachny,66.4167,112.4,9.14,100,100,7.7,RU,Sat Jun 10 11:23:02 2023
80,iqaluit,63.7506,-68.5145,2.85,86,100,9.77,CA,Sat Jun 10 11:23:02 2023
81,chonchi,-42.6128,-73.8092,8.95,82,70,2.2,CL,Sat Jun 10 11:23:02 2023
82,eirunepe,-6.6603,-69.8736,27.49,84,92,0.95,BR,Sat Jun 10 11:23:02 2023
83,kimbe,-5.5502,150.1429,24.26,91,98,1.85,PG,Sat Jun 10 11:23:02 2023
84,sur,22.5667,59.5289,33.47,45,97,1.89,OM,Sat Jun 10 11:23:02 2023
85,puerto baquerizo moreno,-0.9,-89.6,27.55,83,40,6.17,EC,Sat Jun 10 11:23:02 2023
86,tikhvin,59.6451,33.5294,13.45,36,82,3.45,RU,Sat Jun 10 11:23:03 2023
87,olyokminsk,60.3736,120.4264,16.85,61,3,2.33,RU,Sat Jun 10 11:23:03 2023
88,xifeng,42.7372,124.7222,13.57,90,100,1.57,CN,Sat Jun 10 11:23:03 2023
89,jamestown,42.097,-79.2353,21.4,49,0,5.14,US,Sat Jun 10 11:23:03 2023
90,robore,-18.3333,-59.75,29.96,50,0,4.57,BO,Sat Jun 10 11:23:03 2023
91,kupang,-10.1667,123.5833,25.44,79,12,5.92,ID,Sat Jun 10 11:21:40 2023
92,leh,34.1667,77.5833,12.4,39,41,3.67,IN,Sat Jun 10 11:23:03 2023
93,tlahualilo de zaragoza,26.1167,-103.45,29.19,23,4,4.92,MX,Sat Jun 10 11:23:03 2023
94,qaqortoq,60.7167,-46.0333,6.47,65,89,2.41,GL,Sat Jun 10 11:23:04 2023
95,fale old settlement,-9.3852,-171.2468,28.36,81,72,7.51,TK,Sat Jun 10 11:23:04 2023
96,lae,-6.7221,146.9847,24.11,85,47,1.93,PG,Sat Jun 10 11:23:04 2023
97,zeya,53.75,127.2667,15.07,83,7,1.75,RU,Sat Jun 10 11:23:04 2023
98,kenai,60.5544,-151.2583,7.86,94,100,0.0,US,Sat Jun 10 11:23:04 2023
99,hithadhoo,-0.6,73.0833,28.92,72,59,3.42,MV,Sat Jun 10 11:23:04 2023
100,mattarello,46.0079,11.1285,26.72,64,20,3.6,IT,Sat Jun 10 11:23:04 2023
101,vilyuchinsk,52.9306,158.4028,12.15,71,68,4.55,RU,Sat Jun 10 11:23:04 2023
102,cabo san lucas,22.8909,-109.9124,31.17,16,0,4.12,MX,Sat Jun 10 11:23:05 2023
103,al kharijah,25.4514,30.5464,36.16,16,0,6.47,EG,Sat Jun 10 11:23:05 2023
104,thompson,55.7435,-97.8558,18.09,42,40,3.6,CA,Sat Jun 10 11:23:05 2023
105,stanley,54.868,-1.6985,23.19,69,0,4.12,GB,Sat Jun 10 11:23:05 2023
106,puerto lempira,15.2667,-83.7667,31.08,66,40,0.0,HN,Sat Jun 10 11:23:05 2023
107,bredasdorp,-34.5322,20.0403,16.01,67,33,0.19,ZA,Sat Jun 10 11:23:05 2023
108,wanxian,30.8039,108.3897,25.52,88,92,2.29,CN,Sat Jun 10 11:23:05 2023
109,chibougamau,49.9168,-74.3659,17.79,55,40,1.54,CA,Sat Jun 10 11:23:05 2023
110,enewetak,11.3474,162.3373,28.07,79,98,5.71,MH,Sat Jun 10 11:23:05 2023
111,lagos,6.5833,3.75,28.05,77,100,3.91,NG,Sat Jun 10 11:11:33 2023
112,ust'-uda,54.1742,103.0304,18.95,77,66,1.89,RU,Sat Jun 10 11:23:06 2023
113,villa regina,-39.1,-67.0667,9.99,25,6,9.02,AR,Sat Jun 10 11:23:06 2023
114,arraias,-12.9288,-46.9437,31.63,32,0,2.39,BR,Sat Jun 10 11:23:06 2023
115,wotho,10.1657,166.0102,28.0,79,100,6.88,MH,Sat Jun 10 11:23:06 2023
116,vorkuta,67.5,64.0,9.49,76,100,6.2,RU,Sat Jun 10 11:23:06 2023
117,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,54,75,3.0,RU,Sat Jun 10 11:23:06 2023
118,chulakkurgan,43.765,69.1814,26.99,21,23,5.83,KZ,Sat Jun 10 11:20:20 2023
119,labrador city,52.9463,-66.9114,15.95,63,40,2.57,CA,Sat Jun 10 11:23:06 2023
120,port augusta,-32.5,137.7667,11.04,64,0,2.16,AU,Sat Jun 10 11:19:41 2023
121,chos malal,-37.3781,-70.2709,6.05,47,0,5.27,AR,Sat Jun 10 11:23:07 2023
122,richards bay,-28.783,32.0377,18.41,60,6,3.17,ZA,Sat Jun 10 11:23:07 2023
123,nuku'alofa,-21.1333,-175.2,17.19,94,20,1.54,TO,Sat Jun 10 11:23:07 2023
124,edinburgh of the seven seas,-37.0676,-12.3116,14.2,73,68,8.85,SH,Sat Jun 10 11:23:07 2023
125,ninghai,29.2892,121.4247,22.58,95,98,0.89,CN,Sat Jun 10 11:23:07 2023
126,dhuusamarreeb,5.535,46.3861,34.3,32,87,7.37,SO,Sat Jun 10 11:23:07 2023
127,keflavik,64.0049,-22.5624,9.24,57,40,7.72,IS,Sat Jun 10 11:23:07 2023
128,avarua,-21.2078,-159.775,22.03,100,40,0.51,CK,Sat Jun 10 11:23:07 2023
129,gero,-8.7039,121.1881,22.07,92,29,1.08,ID,Sat Jun 10 11:23:07 2023
130,ribeira grande,38.5167,-28.7,21.54,56,20,6.69,PT,Sat Jun 10 11:23:08 2023
131,christchurch,-43.5333,172.6333,9.41,88,18,0.51,NZ,Sat Jun 10 11:18:37 2023
132,queenstown,-31.8976,26.8753,11.53,34,0,1.66,ZA,Sat Jun 10 11:23:08 2023
133,zemio,5.0314,25.1361,29.1,55,100,0.42,CF,Sat Jun 10 11:23:08 2023
134,quesnel,52.9999,-122.5029,15.28,100,100,1.03,CA,Sat Jun 10 11:23:06 2023
135,portland,45.5234,-122.6762,16.12,81,75,1.34,US,Sat Jun 10 11:20:19 2023
136,daru,-9.0763,143.2092,25.35,85,44,5.83,PG,Sat Jun 10 11:23:08 2023
137,port mathurin,-19.6833,63.4167,24.83,73,3,10.25,MU,Sat Jun 10 11:23:08 2023
138,houghton,47.1219,-88.569,13.71,91,100,6.17,US,Sat Jun 10 11:20:00 2023
139,podporozh'ye,60.9112,34.1706,14.35,38,94,2.78,RU,Sat Jun 10 11:23:09 2023
140,crane,31.3974,-102.3501,28.75,32,81,5.23,US,Sat Jun 10 11:23:09 2023
141,jayapura,-2.5333,140.7,25.66,89,75,2.48,ID,Sat Jun 10 11:23:09 2023
142,livingstone,-17.8419,25.8543,28.94,16,7,3.96,ZM,Sat Jun 10 11:23:09 2023
143,ancud,-41.8697,-73.8203,8.01,73,80,3.38,CL,Sat Jun 10 11:23:09 2023
144,sao vicente,-23.9631,-46.3919,31.98,31,0,1.34,BR,Sat Jun 10 11:23:09 2023
145,masterton,-40.9597,175.6575,4.75,94,0,1.09,NZ,Sat Jun 10 11:23:09 2023
146,gadzhiyevo,69.2551,33.3362,6.79,61,100,3.37,RU,Sat Jun 10 11:23:09 2023
147,teluk nibung,3.001,99.8164,26.15,87,93,0.95,ID,Sat Jun 10 11:23:09 2023
148,mhamid,29.82,-5.72,37.25,9,0,6.76,MA,Sat Jun 10 11:21:14 2023
149,waupaca,44.358,-89.086,21.05,68,100,1.54,US,Sat Jun 10 11:18:25 2023
150,rongelap,11.1635,166.8941,27.67,84,100,6.51,MH,Sat Jun 10 11:23:10 2023
151,fort st. john,56.2499,-120.8529,19.94,56,100,5.14,CA,Sat Jun 10 11:23:10 2023
152,sitka,57.0531,-135.33,9.94,87,100,0.0,US,Sat Jun 10 11:23:10 2023
153,agadez,19.75,10.25,41.02,14,0,2.73,NE,Sat Jun 10 11:23:10 2023
154,portstewart,55.1813,-6.714,21.83,71,100,5.42,GB,Sat Jun 10 11:23:10 2023
155,kodiak,57.79,-152.4072,6.73,93,100,3.6,US,Sat Jun 10 11:23:10 2023
156,isafjordur,66.0755,-23.124,8.02,53,75,2.57,IS,Sat Jun 10 11:20:16 2023
157,tobelo,1.7284,128.0095,26.85,83,44,1.32,ID,Sat Jun 10 11:23:10 2023
158,ta`u,-14.2336,-169.5144,27.64,79,80,6.44,AS,Sat Jun 10 11:23:10 2023
159,vaslui,46.6333,27.7333,25.88,45,91,4.52,RO,Sat Jun 10 11:15:09 2023
160,longonjo,-12.9067,15.2533,28.05,20,13,0.84,AO,Sat Jun 10 11:23:11 2023
161,hubli,15.35,75.1667,25.02,88,75,5.14,IN,Sat Jun 10 11:23:11 2023
162,gisborne,-38.6533,178.0042,11.29,85,91,3.99,NZ,Sat Jun 10 11:23:11 2023
163,languyan,5.2618,120.0807,26.66,84,100,1.8,PH,Sat Jun 10 11:23:11 2023
164,ruzomberok,49.0748,19.3075,19.44,87,88,2.95,SK,Sat Jun 10 11:23:11 2023
165,fort bragg,35.139,-79.006,27.89,35,0,1.54,US,Sat Jun 10 11:22:10 2023
166,linqiong,30.4159,103.4609,26.9,50,90,1.29,CN,Sat Jun 10 11:23:11 2023
167,yanga,18.8333,-96.8,27.17,75,68,0.65,MX,Sat Jun 10 11:23:11 2023
168,andergrove,-21.0833,149.1833,19.8,84,17,4.46,AU,Sat Jun 10 11:23:11 2023
169,ewo,-0.8725,14.8206,29.44,60,93,0.23,CG,Sat Jun 10 11:23:12 2023
170,moapa valley,36.5805,-114.4703,26.97,21,100,0.24,US,Sat Jun 10 11:23:12 2023
171,mount isa,-20.7333,139.5,15.87,36,6,2.06,AU,Sat Jun 10 11:23:12 2023
172,minas de marcona,-15.2119,-75.1103,15.72,69,45,5.64,PE,Sat Jun 10 11:23:12 2023
173,semporna,4.4818,118.6112,26.24,83,100,1.36,MY,Sat Jun 10 11:23:12 2023
174,argo,37.6333,22.7333,25.44,70,93,1.06,GR,Sat Jun 10 11:23:12 2023
175,katsuura,35.1333,140.3,21.18,96,100,2.52,JP,Sat Jun 10 11:23:12 2023
176,lompoc,34.6391,-120.4579,15.99,86,0,3.6,US,Sat Jun 10 11:23:12 2023
177,tazovsky,67.4667,78.7,9.72,45,57,2.49,RU,Sat Jun 10 11:23:12 2023
178,hovd,48.0056,91.6419,24.61,24,8,1.09,MN,Sat Jun 10 11:23:13 2023
179,olonkinbyen,70.9221,-8.7187,2.24,99,100,8.09,SJ,Sat Jun 10 11:23:13 2023
180,sola,-13.8833,167.55,26.37,74,100,5.14,VU,Sat Jun 10 11:23:13 2023
181,vodice,43.7608,15.7828,24.28,80,100,2.97,HR,Sat Jun 10 11:23:13 2023
182,aars,56.804,9.5144,22.1,42,8,4.84,DK,Sat Jun 10 11:23:13 2023
183,hamilton,39.1834,-84.5333,26.79,44,20,3.09,US,Sat Jun 10 11:21:12 2023
184,college,64.8569,-147.8028,13.18,73,40,1.54,US,Sat Jun 10 11:23:13 2023
185,kerikeri,-35.2268,173.9474,8.33,94,9,1.63,NZ,Sat Jun 10 11:23:13 2023
186,invercargill,-46.4,168.35,4.6,87,79,2.65,NZ,Sat Jun 10 11:23:14 2023
187,shagonar,51.5333,92.8,20.43,62,74,1.27,RU,Sat Jun 10 11:23:14 2023
188,hasaki,35.7333,140.8333,21.23,93,100,3.42,JP,Sat Jun 10 11:23:14 2023
189,taro,-8.3862,115.28,23.0,97,68,0.66,ID,Sat Jun 10 11:23:14 2023
190,basciftlik,40.5469,37.1692,15.64,81,90,2.29,TR,Sat Jun 10 11:23:14 2023
191,yellowknife,62.456,-114.3525,13.29,71,75,4.63,CA,Sat Jun 10 11:20:04 2023
192,atamanovka,51.93,113.63,11.24,72,47,1.16,RU,Sat Jun 10 11:23:14 2023
193,papatowai,-46.5619,169.4708,6.12,62,71,2.57,NZ,Sat Jun 10 11:23:14 2023
194,praia da vitoria,38.7333,-27.0667,23.14,60,20,7.85,PT,Sat Jun 10 11:23:14 2023
195,ongwediva,-17.7833,15.7667,28.85,13,4,2.87,NA,Sat Jun 10 11:23:15 2023
196,ouani,-12.1322,44.4258,26.04,73,4,2.94,KM,Sat Jun 10 11:23:15 2023
197,bemidji,47.4736,-94.8803,17.17,88,100,5.66,US,Sat Jun 10 11:23:15 2023
198,san patricio,28.017,-97.5169,31.06,58,1,5.4,US,Sat Jun 10 11:23:15 2023
199,dudinka,69.4058,86.1778,5.9,42,6,2.73,RU,Sat Jun 10 11:23:15 2023
200,patnanungan,14.7833,122.1833,28.74,76,100,6.87,PH,Sat Jun 10 11:23:15 2023
